station,longitude,latitude
88850000,-52.463,-31.573
12400000,-73.664,-7.448
20200000,-49.692,-15.496
21300000,-46.492,-14.477
21560000,-46.778,-13.501
22050001,-48.528,-12.023
22500000,-48.383,-9.568
25100000,-50.172,-15.923
26040000,-54.177,-15.315
31490000,-47.055,-1.867
31520000,-47.066,-1.543
31600000,-47.116,-1.653
32400000,-46.708,-1.858
33075000,-46.493,-4.299
34660000,-43.025,-5.572
40040000,-46.061,-20.096
40053000,-45.663,-20.238
40060001,-46.018,-19.888
40150000,-44.793,-20.181
40170000,-44.918,-20.218
40185000,-44.893,-20.185
40269900,-44.582,-20.068
40300001,-44.818,-19.743
40330000,-44.931,-19.694
40500000,-45.221,-19.332
40530000,-45.442,-19.165
40680000,-44.073,-20.661
40740000,-44.165,-20.156
40800001,-44.348,-19.916
40810350,-44.485,-20.103
40810800,-44.436,-20.088
40811100,-44.409,-20.048
40823500,-44.365,-19.962
40850000,-44.551,-19.427
40930000,-45.887,-19.396
40975000,-45.646,-18.467
41050000,-46.039,-18.707
41135000,-44.944,-17.370
41199998,-43.826,-20.020
41260000,-43.816,-19.705
41380000,-43.905,-19.463
41410000,-44.025,-19.226
41440005,-44.153,-19.372
41685000,-44.285,-18.603
41780002,-44.050,-18.645
41890000,-44.180,-17.997
42187000,-44.376,-16.468
42250000,-47.010,-17.914
42257000,-46.648,-17.514
42365000,-46.357,-17.663
42435000,-46.587,-16.870
42460000,-47.233,-16.209
42490000,-46.880,-16.348
42546000,-46.747,-16.136
42840000,-45.759,-18.139
42860000,-45.436,-17.121
45170001,-44.523,-14.265
45590000,-44.638,-13.340
45740001,-44.562,-13.285
45770000,-44.569,-13.453
45880000,-44.303,-13.559
46415000,-45.086,-12.431
46455000,-45.123,-12.411
46490000,-44.954,-12.406
46543000,-45.103,-12.137
46570000,-45.608,-11.894
46590000,-45.120,-11.854
46770000,-45.532,-11.008
46998000,-43.135,-11.094
47249000,-42.343,-10.984
48850000,-38.528,-8.174
53790000,-40.067,-15.392
58442000,-43.158,-22.142
58826000,-42.521,-22.228
58846000,-42.135,-22.024
58857000,-42.356,-21.952
58880001,-41.753,-21.642
60030000,-47.557,-17.504
60435100,-48.210,-15.700
60477400,-47.879,-15.713
60477600,-47.911,-15.728
60478500,-47.898,-15.873
60478600,-47.858,-15.856
60500000,-47.801,-16.538
60540000,-48.138,-17.132
61175000,-45.168,-21.258
61565000,-46.123,-21.788
61795000,-48.391,-19.909
61910000,-47.808,-21.698
61956001,-48.800,-21.078
62095100,-45.844,-23.529
62110000,-46.160,-23.522
62496001,-47.756,-23.399
62676000,-46.830,-22.984
62772500,-48.276,-21.871
63160000,-50.292,-21.714
64346000,-50.909,-22.532
64370000,-50.288,-23.088
64491000,-50.693,-24.033
65019700,-49.355,-25.613
65415000,-51.142,-26.030
65855000,-52.213,-25.493
66006000,-56.814,-14.453
66008000,-57.083,-15.166
66160000,-56.131,-14.655
75155000,-53.781,-28.287
75205000,-54.031,-28.385
75450000,-54.914,-28.578
76100000,-54.343,-29.556
76300000,-54.903,-30.279
76440000,-54.688,-29.500
76460000,-54.737,-29.363
81380000,-48.105,-24.520
81683000,-47.838,-24.486
84950000,-49.602,-28.942
87160000,-51.188,-29.337
87399000,-50.978,-29.966
87400000,-51.068,-29.963
